repo,visibility,public_status,protection_status,error
mr-devloper005/owlknowsbest.com,public,ok,failed,protection: gh: Invalid request.  No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. For 'allOf/0'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not an object. Not all subschemas of "allOf" matched. For 'anyOf/1'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. (HTTP 422) 
mr-devloper005/reviewlystes.com,public,ok,failed,protection: gh: Invalid request.  No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. For 'allOf/0'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not an object. Not all subschemas of "allOf" matched. For 'anyOf/1'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. (HTTP 422) 
mr-devloper005/postbarrs.com,public,ok,failed,protection: gh: Repository has been locked. (HTTP 403) 
mr-devloper005/wordwareshub.com,public,ok,failed,protection: gh: Invalid request.  No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. For 'allOf/0'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not an object. Not all subschemas of "allOf" matched. For 'anyOf/1'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. (HTTP 422) 
mr-devloper005/dailymaffs.com,public,ok,failed,protection: gh: Invalid request.  No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. For 'allOf/0'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not an object. Not all subschemas of "allOf" matched. For 'anyOf/1'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. (HTTP 422) 
mr-devloper005/thegemluxe.com,public,ok,failed,protection: gh: Invalid request.  No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. For 'allOf/0'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not an object. Not all subschemas of "allOf" matched. For 'anyOf/1'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. (HTTP 422) 
mr-devloper005/xperthinks.com,public,ok,failed,protection: gh: Invalid request.  No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. For 'allOf/0'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not an object. Not all subschemas of "allOf" matched. For 'anyOf/1'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. (HTTP 422) 
mr-devloper005/dochirp.com,public,ok,failed,protection: gh: Invalid request.  No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. For 'allOf/0'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not an object. Not all subschemas of "allOf" matched. For 'anyOf/1'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. (HTTP 422) 
mr-devloper005/corazonesguru.com,public,ok,failed,protection: gh: Invalid request.  No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. For 'allOf/0'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not an object. Not all subschemas of "allOf" matched. For 'anyOf/1'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. (HTTP 422) 
mr-devloper005/thewalltimes.com,public,ok,failed,protection: gh: Invalid request.  No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. For 'allOf/0'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not an object. Not all subschemas of "allOf" matched. For 'anyOf/1'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. (HTTP 422) 
mr-devloper005/toretopic.com,public,ok,failed,protection: gh: Invalid request.  No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. For 'allOf/0'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not an object. Not all subschemas of "allOf" matched. For 'anyOf/1'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. (HTTP 422) 
mr-devloper005/thecorise.com,public,ok,failed,protection: gh: Invalid request.  No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. For 'allOf/0'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not an object. Not all subschemas of "allOf" matched. For 'anyOf/1'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. (HTTP 422) 
mr-devloper005/bsayblog.com,public,ok,failed,protection: gh: Repository has been locked. (HTTP 403) 
mr-devloper005/mundodeoracao.com,public,ok,failed,protection: gh: Invalid request.  No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. For 'allOf/0'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not an object. Not all subschemas of "allOf" matched. For 'anyOf/1'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. (HTTP 422) 
mr-devloper005/orbitsvalues.com,public,ok,failed,protection: gh: Invalid request.  No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. For 'allOf/0'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not an object. Not all subschemas of "allOf" matched. For 'anyOf/1'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. (HTTP 422) 
mr-devloper005/thereadsessions.com,public,ok,failed,protection: gh: Invalid request.  No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. For 'allOf/0'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not an object. Not all subschemas of "allOf" matched. For 'anyOf/1'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. (HTTP 422) 
mr-devloper005/bloggingraftar.com,public,ok,failed,protection: gh: Invalid request.  No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. For 'allOf/0'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not an object. Not all subschemas of "allOf" matched. For 'anyOf/1'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. (HTTP 422) 
mr-devloper005/infodirectaya.com,public,ok,failed,protection: gh: Invalid request.  No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. For 'allOf/0'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not an object. Not all subschemas of "allOf" matched. For 'anyOf/1'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. (HTTP 422) 
mr-devloper005/admiralreviews.com,public,ok,failed,protection: gh: Invalid request.  No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. For 'allOf/0'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not an object. Not all subschemas of "allOf" matched. For 'anyOf/1'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. (HTTP 422) 
mr-devloper005/snapdigo.com,public,ok,failed,protection: gh: Invalid request.  No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. For 'allOf/0'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not an object. Not all subschemas of "allOf" matched. For 'anyOf/1'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. (HTTP 422) 
mr-devloper005/goolatam.com,public,ok,failed,protection: gh: Invalid request.  No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. For 'allOf/0'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not an object. Not all subschemas of "allOf" matched. For 'anyOf/1'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. (HTTP 422) 
mr-devloper005/hellabird.com,public,ok,failed,protection: gh: Repository has been locked. (HTTP 403) 
mr-devloper005/innaterhythm.com,public,ok,failed,protection: gh: Invalid request.  No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. For 'allOf/0'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not an object. Not all subschemas of "allOf" matched. For 'anyOf/1'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. (HTTP 422) 
mr-devloper005/aticgrafic.com,public,ok,failed,protection: gh: Invalid request.  No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. For 'allOf/0'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not an object. Not all subschemas of "allOf" matched. For 'anyOf/1'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. (HTTP 422) 
mr-devloper005/dailyshareinfo.com,public,ok,failed,protection: gh: Invalid request.  No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. For 'allOf/0'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not an object. Not all subschemas of "allOf" matched. For 'anyOf/1'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. (HTTP 422) 
mr-devloper005/weblybd.com,public,ok,failed,protection: gh: Invalid request.  No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. No subschema in "anyOf" matched. For 'allOf/0'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not an object. Not all subschemas of "allOf" matched. For 'anyOf/1'; "{\"required_approving_review_count\":0;\"dismiss_stale_reviews\":false;\"require_code_owner_reviews\":false;\"require_last_push_approval\":false}" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. For 'allOf/0'; "false" is not a boolean. Not all subschemas of "allOf" matched. For 'anyOf/1'; "false" is not a null. (HTTP 422) 
