domain,code,tasks,port,repo,repoCreated,committed,localExisted
owlknowsbest.com,owlknowsbest,article,4103,mr-devloper005/owlknowsbest.com,False,False,True
reviewlystes.com,reviewlystes,article,4104,mr-devloper005/reviewlystes.com,False,False,True
postbarrs.com,postbarrs,article,4105,mr-devloper005/postbarrs.com,False,False,True
wordwareshub.com,wordwareshub,article,4106,mr-devloper005/wordwareshub.com,False,True,True
dailymaffs.com,dailymaffs,article,4107,mr-devloper005/dailymaffs.com,True,True,False
thegemluxe.com,thegemluxe,article,4108,mr-devloper005/thegemluxe.com,True,True,False
xperthinks.com,xperthinks,article,4109,mr-devloper005/xperthinks.com,True,True,False
dochirp.com,dochirp,article,4110,mr-devloper005/dochirp.com,True,True,False
corazonesguru.com,corazonesguru,article,4111,mr-devloper005/corazonesguru.com,True,True,False
thewalltimes.com,thewalltimes,article,4112,mr-devloper005/thewalltimes.com,True,True,False
toretopic.com,toretopic,article,4113,mr-devloper005/toretopic.com,True,True,False
thecorise.com,thecorise,article,4114,mr-devloper005/thecorise.com,True,True,False
bsayblog.com,bsayblog,article+profile,4115,mr-devloper005/bsayblog.com,True,True,False
mundodeoracao.com,mundodeoracao,article,4116,mr-devloper005/mundodeoracao.com,True,True,False
orbitsvalues.com,orbitsvalues,article,4117,mr-devloper005/orbitsvalues.com,True,True,False
thereadsessions.com,thereadsessions,article+profile,4118,mr-devloper005/thereadsessions.com,True,True,False
bloggingraftar.com,bloggingraftar,article+profile,4119,mr-devloper005/bloggingraftar.com,True,True,False
infodirectaya.com,infodirectaya,article,4120,mr-devloper005/infodirectaya.com,True,True,False
admiralreviews.com,admiralreviews,article,4121,mr-devloper005/admiralreviews.com,True,True,False
snapdigo.com,snapdigo,article,4122,mr-devloper005/snapdigo.com,True,True,False
goolatam.com,goolatam,article,4123,mr-devloper005/goolatam.com,True,True,False
hellabird.com,hellabird,article,4124,mr-devloper005/hellabird.com,True,True,False
innaterhythm.com,innaterhythm,article,4125,mr-devloper005/innaterhythm.com,True,True,False
aticgrafic.com,aticgrafic,article,4126,mr-devloper005/aticgrafic.com,True,True,False
dailyshareinfo.com,dailyshareinfo,article,4101,mr-devloper005/dailyshareinfo.com,False,True,True
weblybd.com,weblybd,sbm,4102,mr-devloper005/weblybd.com,False,True,True
coodect.com,coodect,sbm,4127,mr-devloper005/coodect.com,True,True,False
justtmd.com,justtmd,sbm,4128,mr-devloper005/justtmd.com,True,True,False
growthswave.com,growthswave,sbm,4129,mr-devloper005/growthswave.com,True,True,False
keytoscale.com,keytoscale,sbm,4130,mr-devloper005/keytoscale.com,True,True,False
cliktock.com,cliktock,sbm+profile,4131,mr-devloper005/cliktock.com,True,True,False
gofkar.com,gofkar,sbm,4132,mr-devloper005/gofkar.com,True,True,False
tenfiftyone.com,tenfiftyone,sbm,4133,mr-devloper005/tenfiftyone.com,True,True,False
searcr.com,searcr,sbm,4134,mr-devloper005/searcr.com,True,True,False
letsactuallygo.com,letsactuallygo,sbm,4135,mr-devloper005/letsactuallygo.com,True,True,False
teeaction.com,teeaction,sbm,4136,mr-devloper005/teeaction.com,True,True,False
chaojefe.com,chaojefe,sbm,4137,mr-devloper005/chaojefe.com,True,True,False
leclicplus.com,leclicplus,sbm,4138,mr-devloper005/leclicplus.com,True,True,False
immediategrid.com,immediategrid,sbm,4139,mr-devloper005/immediategrid.com,True,True,False
attendtheway.com,attendtheway,sbm,4140,mr-devloper005/attendtheway.com,True,True,False
fluideosolutions.com,fluideosolutions,pdf,4141,mr-devloper005/fluideosolutions.com,True,True,False
intelloidea.com,intelloidea,pdf,4142,mr-devloper005/intelloidea.com,True,True,False
truedispositions.com,truedispositions,pdf,4143,mr-devloper005/truedispositions.com,True,True,False
innociv.com,innociv,pdf,4144,mr-devloper005/innociv.com,True,True,False
proothisionline.com,proothisionline,pdf,4145,mr-devloper005/proothisionline.com,True,True,False
filingone.com,filingone,pdf,4146,mr-devloper005/filingone.com,True,True,False
incanova.com,incanova,pdf,4147,mr-devloper005/incanova.com,True,True,False
amoebicexpansion.com,amoebicexpansion,pdf,4148,mr-devloper005/amoebicexpansion.com,True,True,False
tasmeimi.com,tasmeimi,pdf,4149,mr-devloper005/tasmeimi.com,True,True,False
valuevaultcorp.com,valuevaultcorp,pdf,4150,mr-devloper005/valuevaultcorp.com,True,True,False
solveease.net,solveease,pdf,4151,mr-devloper005/solveease.net,True,True,False
devonter.com,devonter,pdf,4152,mr-devloper005/devonter.com,True,True,False
astraelementor.com,astraelementor,pdf,4153,mr-devloper005/astraelementor.com,True,True,False
affordibly.com,affordibly,classified,4154,mr-devloper005/affordibly.com,True,True,False
dreamimportados.com,dreamimportados,classified,4155,mr-devloper005/dreamimportados.com,True,True,False
granelda.com,granelda,classified,4156,mr-devloper005/granelda.com,True,True,False
serbegum.com,serbegum,classified,4157,mr-devloper005/serbegum.com,True,True,False
abknuaf.com,abknuaf,classified,4158,mr-devloper005/abknuaf.com,True,True,False
entreasmelhores.com,entreasmelhores,classified,4159,mr-devloper005/entreasmelhores.com,True,True,False
pelandoofertas.com,pelandoofertas,classified,4160,mr-devloper005/pelandoofertas.com,True,True,False
ibullinfo.com,ibullinfo,classified,4161,mr-devloper005/ibullinfo.com,True,True,False
fastportatil.com,fastportatil,classified,4162,mr-devloper005/fastportatil.com,True,True,False
axidra.net,axidra,classified,4163,mr-devloper005/axidra.net,True,True,False
remodelerar.com,remodelerar,classified,4164,mr-devloper005/remodelerar.com,True,True,False
leventakinti.com,leventakinti,classified,4165,mr-devloper005/leventakinti.com,True,True,False
capsigrow.com,capsigrow,classified,4166,mr-devloper005/capsigrow.com,True,True,False
griyo.net,griyo,classified,4167,mr-devloper005/griyo.net,True,True,False
smashindevil.com,smashindevil,classified,4168,mr-devloper005/smashindevil.com,True,True,False
reniwn.com,reniwn,classified,4169,mr-devloper005/reniwn.com,True,True,False
viendoanhnhan.com,viendoanhnhan,classified,4170,mr-devloper005/viendoanhnhan.com,True,True,False
zyvorapit.com,zyvorapit,classified,4171,mr-devloper005/zyvorapit.com,True,True,False
collectivebyte.com,collectivebyte,listing,4172,mr-devloper005/collectivebyte.com,False,True,True
gustorest.com,gustorest,listing,4173,mr-devloper005/gustorest.com,True,True,False
fanstgh.com,fanstgh,listing,4174,mr-devloper005/fanstgh.com,True,True,False
lechantdelinos.com,lechantdelinos,listing,4175,mr-devloper005/lechantdelinos.com,True,True,False
maxkavosh.com,maxkavosh,listing,4176,mr-devloper005/maxkavosh.com,True,True,False
jasamaklonpro.com,jasamaklonpro,listing,4177,mr-devloper005/jasamaklonpro.com,True,True,False
proserviceon.com,proserviceon,listing,4178,mr-devloper005/proserviceon.com,True,True,False
alnancompass.com,alnancompass,listing,4179,mr-devloper005/alnancompass.com,True,True,False
stsondemand.com,stsondemand,listing,4180,mr-devloper005/stsondemand.com,True,True,False
branmedya.com,branmedya,listing,4181,mr-devloper005/branmedya.com,True,True,False
rilfinserve.com,rilfinserve,listing,4182,mr-devloper005/rilfinserve.com,True,True,False
vectorduo.com,vectorduo,listing,4183,mr-devloper005/vectorduo.com,True,True,False
nglobals.com,nglobals,listing,4184,mr-devloper005/nglobals.com,True,True,False
scalemesolutions.com,scalemesolutions,listing,4185,mr-devloper005/scalemesolutions.com,True,True,False
leadtore.com,leadtore,listing,4186,mr-devloper005/leadtore.com,True,True,False
ginfosolution.com,ginfosolution,listing,4187,mr-devloper005/ginfosolution.com,True,True,False
karlinit.com,karlinit,listing,4188,mr-devloper005/karlinit.com,True,True,False
safeerindo.com,safeerindo,listing,4189,mr-devloper005/safeerindo.com,True,True,False
movisgesettle.com,movisgesettle,listing,4190,mr-devloper005/movisgesettle.com,True,True,False
ibizanetworks.com,ibizanetworks,listing,4191,mr-devloper005/ibizanetworks.com,True,True,False
lynovato.com,lynovato,listing,4192,mr-devloper005/lynovato.com,True,True,False
hibvest.com,hibvest,listing,4193,mr-devloper005/hibvest.com,True,True,False
rokusbotlek.com,rokusbotlek,listing,4194,mr-devloper005/rokusbotlek.com,True,True,False
fitlloyd.com,fitlloyd,image+profile,4195,mr-devloper005/fitlloyd.com,True,True,False
lexertainment.com,lexertainment,image+profile,4196,mr-devloper005/lexertainment.com,True,True,False
flawlessnoises.com,flawlessnoises,image+profile,4197,mr-devloper005/flawlessnoises.com,True,True,False
baboonet.com,baboonet,image+profile,4198,mr-devloper005/baboonet.com,True,True,False
furrioo.com,furrioo,image,4199,mr-devloper005/furrioo.com,True,True,False
showdavida.com,showdavida,image+profile,4200,mr-devloper005/showdavida.com,True,True,False
phiyall.com,phiyall,image+profile,4201,mr-devloper005/phiyall.com,True,True,False
golgator.com,golgator,image+profile,4202,mr-devloper005/golgator.com,True,True,False
siteforgeart.com,siteforgeart,image,4203,mr-devloper005/siteforgeart.com,True,True,False
lotologyy.com,lotologyy,image+profile,4204,mr-devloper005/lotologyy.com,True,True,False
laruchebleue.net,laruchebleue,image+profile,4205,mr-devloper005/laruchebleue.net,True,True,False
aireblowdry.com,aireblowdry,image+profile,4206,mr-devloper005/aireblowdry.com,True,True,False
stetsonukims.com,stetsonukims,image+profile,4207,mr-devloper005/stetsonukims.com,True,True,False
nickelsandlinc.com,nickelsandlinc,image+profile,4208,mr-devloper005/nickelsandlinc.com,True,True,False
ankavisual.com,ankavisual,image+profile,4209,mr-devloper005/ankavisual.com,True,True,False
gloexpressdel.com,gloexpressdel,image+profile,4210,mr-devloper005/gloexpressdel.com,True,True,False
